Text;SuggestionId;CriminalityRangeMin;CriminalityRangeMax
Roubos pelo PCC estranhamente diminuíram na capital esta semana;18;0,00;100,00
Centenas de novos pontos de venda de drogas aparecem na cidade após desaparição da cracolândia.;10;33,01;66,00
Aumenta o número de mortos inocentes após entrega de armas pesadas a policiais.;4;0,00;33,00
Na última semana o número de celulares roubados na capital diminuiu drasticamente.;2;33,01;66,00
Infelizmente a porcentagem de assassinatos por violência doméstica está aumentando na capital. ;9;0,00;33,00
Os furtos ao redor dos pontos de ônibus da capital diminuíram nessa última semana.;12;33,01;66,00
Pessoa sem-teto foi levada ao hospital por ter que comer alimentos encontrados no lixo.;15;0,00;33,00
“Eu me sinto até mais segura de andar na rua” diz moradora aposentada após mutirão de limpeza no centro de SP;16;33,01;66,00
“Primeiro rouba a merenda e agora quer a marmita dos mendigos?” motorista indignado com ação da GCM;15;66,00;100,00
A maior queda na porcentagem de violência doméstica ocorre em São Paulo, diz estudo.;6;0,00;33,00
Usar mais violência para acabar com violência não é a solução” diz especialista da ONU. Prefeito discorda.;5;66,00;100,00
Furtos e brigas são cada vez mais difíceis de ver na cracolândia após ação social do governo. ;11;33,01;66,00
Avenida Paulista bate récorde de pessoas em situação de rua dormindo nas calçadas, durante o dia;14;66,00;100,00
O número de celulares roubados em São Paulo segue em queda;2;0,00;33,00
“Agora nos sentimos muito mais seguros sabendo que todo dia terá uma viatura vigiando a entrada e saída de nossos filhos” comenta morador.;13;0,00;100,00
Após limpeza do centro histórico, o número de turistas e visitantes  duplicou na última semana.;16;0,00;33,00
O novo treinamento para os agentes diminui as abordagens violentas e o estresse em momentos de conflito, diz especialista. ;3;66,00;100,00
Após a polêmica remoção da câmera corporal, número de mortes de suspeitos triplica na última semana.;1;66,00;100,00
“Antes eu tinha medo de passar por esse bairro, mas agora está bem mais seguro”, disseram vários trabalhadores que entrevistamos nos últimos dias.;7;33,01;66,00
Projeto “PpP” traz de volta ao serviço mais de 85% dos tratados.;8;66,00;100,00
Conflitos na cracolândia se mantêm ao mesmo nível do ano passado, enquanto mais mulheres são assassinadas por seus parceiros.;9;0,00;33,00
